САРАТОВ,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп,,,,,,,,,,Новая цена
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2390,,950,Германия,Пино Нуар,"12,5",,,,,,2000,950,,,,,,,,,,
"Вино Кьянти Ризерва красное полусухое 0,75 л",2490,,1000,Италия,Санджовезе\Мерло,13,,,,,,2000,950,,,,,,,,,,
"Вино Баррелая красное полусухое 0,75 л",2500,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,2100,1000,,,,,,,,,,
"Вино Неро ди Тройя красное полусухое 0,75 л",2850,,1200,Италия,Неро ди Троя,15,,,,,,2200,1200,,,,,,,,,,
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",2910,,1230,Италия,Монтепульчано,"13,5",,,,,,2200,1100,,,,,,,,,,
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3020,,1300,Италия,Сузуманьелло,"14,5",,,,,,2300,1300,,,,,,,,,,
Вино ВайНот?! IGP красное полусухое,3210,,1400,Италия,Зинфандель,15,,,,,,2500,1400,,,,,,,,,,
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,14,,,,,,1800,850,,,,,,,,,,
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,,,,1400,550,,,,,,,,,,
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,500,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1510,,450,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,,,,,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1550,,450,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,,,,,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2040,,750,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,,,,,,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2490,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп,,,,,,,,,,
"Водка Тундра Аутентик 0,5",1510,,450,,,,,,,,,1000,390,,,,,,,,,,
"Водка Зимняя деревенька на солодовом спирте 0,5",1650,бристоль,530,,,,,,,,,1100,360,,,,,,,,,,
"Водка Медведь 0,5 л",1740,,580,,,,,,,,,,,,,,,,,,,,
"Водка Белая Березка 0,5",1770,,600,,,,,,,,,1100,430,,,,,,,,,,
"Водка Русский Стандарт Голд 0,5",1910,,680,,,,,,,,,1100,440,,,,,,,,,,
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2490,,1000,,,,,,,,,1800,1000,,,,,,,,,,
"Водка Белуга Нобл 0,5 л",2850,,1200,,,,,,,,,2300,1000,,,,,,,,,,
"Водка Чистые росы 0,5 ",2850,,1200,,,,,,,,,2500,1200,,,,,,,,,,
"Водка ГРЕЙ ГУЗ 0,5Л ",5720,,2800,,,,,,,,,3000,2300,,,,,,,,,,
"Водка Белый чай имбирь 0,5 л",,нет,нет,,,,,,,,,1600,750,,,,,,,,,,
"Водка АБСОЛЮТ 40% 0,5Л ",,нет,нет,,,,,,,,,2500,1500,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп,,,,,,,,,,
"Водка Пять Озер 0,7",1650,,530,,,,,,,,,1200,460,,,,,,,,,,
"Водка Зимняя Деревенька на солодовом спирте  0,7",1720,,570,,,,,,,,,1200,490,,,,,,,,,,
"Водка Тундра Аутентик 0,7",1810,,620,,,,,,,,,1200,450,,,,,,,,,,
"Водка Белая Березка  0,7",2120,,800,,,,,,,,,1300,590,,,,,,,,,,
"Водка Русский Стандарт  0,7",2310,,900,,,,,,,,,1400,630,,,,,,,,,,
"Водка Чистые росы 0,7 ",3920,,1800,,,,,,,,,2700,1500,,,,,,,,,,
"Водка Белуга Транслантик 40% 0,7Л",4000,,1800,,,,,,,,,2700,1800,,,,,,,,,,
"Водка Суммум 0,7 л",4460,,2100,,,,,,,,,3100,2100,,,,,,,,,,
"Водка АБСОЛЮТ 40% 0,7Л ",,нет,нет,,,,,,,,,2800,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп,,,,,,,,,,
Водка Зимняя Деревенька на солодовом спирте 1л,2120,бристоль,800,,,,,,,,,1400,580,,,,,,,,,,
