ВОЛГОГРАД,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет ,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,500
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет ,Франция,Пино Нуар,14,,,,,,1800,850
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1510,,450,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",1550,,450,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1600,,500,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2490,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Зимняя деревенька на солодовом спирте 0,5",1460,,430,,,,,,,,,1100,360
"Водка Тундра Аутентик 0,5",1480,,440,,,,,,,,,1000,390
"Водка Русский Стандарт Голд 0,5",1590,,500,,,,,,,,,1100,450
"Водка Белая Березка 0,5",1680,,550,,,,,,,,,1100,420
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2490,,1000,,,,,,,,,1800,1000
"Водка Белуга Нобл 0,5 л",2850,,1200,,,,,,,,,2200,1100
"Водка ЧИСТЫЕ РОСЫ 40% 0,5Л ",2900,бристоль,1200,,,,,,,,,2500,1150
"Водка АБСОЛЮТ 40% 0,5Л ",,нет,нет,,,,,,,,,2600,1500
"Водка Белый чай имбирь 0,5 л",,нет,нет,,,,,,,,,1600,750
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Зимняя Деревенька на солодовом спирте  0,7",1750,,590,,,,,,,,,1300,490
"Водка Тундра Аутентик 0,7",1770,,600,,,,,,,,,1200,460
"Водка Пять Озер 0,7",1810,,620,,,,,,,,,1200,490
"Водка Русский Стандарт  0,7",1950,,700,,,,,,,,,1400,620
"Водка Белая Березка  0,7",1970,,710,,,,,,,,,1400,590
"Водка БЕЛУГА ТРАНСАТЛАНТИК РЕЙСИНГ 40% 0,7Л",3840,,1750,,,,,,,,,2700,990
"Водка Суммум 0,7 л",3920,,1800,,,,,,,,,3000,1750
"Водка ЧИСТЫЕ РОСЫ 40% 0,7Л ",4000,,1800,,,,,,,,,2700,1400
"Водка АБСОЛЮТ 40% 0,7Л ",,нет,нет,,,,,,,,,2800,1800
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Водка Зимняя Деревенька на солодовом спирте 1л,2120,бристоль,800,,,,,,,,,1500,750
Водка Пять Озер 1л,2200,,800,,,,,,,,,,
Водка Белая Березка 1Л,2390,,950,,,,,,,,,1600,760
Водка Русский Стандарт 1л,2400,,950,,,,,,,,,1600,830
Водка Медведь 1 л,2650,,1090,,,,,,,,,1700,900
Водка особая Немирофф пшеница 1л,,,,,,,,,,,,,
,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Виски Наки Томпсон 3 года купажированный 0,5",2210,,840,,,,,,,,,1500,780
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2490,,1000,,,,,,,,,1600,900
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2500,,1000,,,,,,,,,2000,900
"Виски шотландский купажированный ЧИВАС РИГАЛ 12 ЛЕТ 0,5",5720,,2800,,,,,,,,,,5100
"Виски ДЖОННИ УОКЕР РЭД ЛЕЙБЛ 40% 0,5Л",,нет,нет,,,,,,,,,2700,1399
"Виски бурбон ДЖИМ БИМ 4 ГОДА БЕЛ. ЭТИК. 40% 0,5Л ",,нет,нет,,,,,,,,,3000,1750
,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2290,,890,,,,,,,,,1400,640
"Виски Наки Томпсон 3 года купажированный 0,7",2670,,1100,,,,,,,,,1800,950
"Виски купажированный шотландский Сир Эдвардс 0,7 л",2850,,1200,,,,,,,,,1900,1190
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7",3020,,1300,,,,,,,,,1900,899
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3100,,1300,,,,,,,,,2400,1050
"Виски шотландский купажированный БАЛЛАНТАЙНС ФАЙНЕСТ 40% 0,7Л",4280,,2000,,,,,,,,,3800,1700
