ВОРОНЕЖ,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Гипфельклеттерн Блауер Цвайгельт красное полусухое 0,75 л",1510,нет,450,Австрия,Блауер Цвайгельт,12,,,,,,1499,570
"Вино Неро ди Тройя красное полусухое 0,75 л",2850,1710 винстайл,1200,Италия,Неро ди Троя,15,,,,,,2399,1200
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3020,нет,1300,Италия,Сузуманьелло,"14,5",,,,,,2499,1300
"Вино ВайНот красное полусухое 0,75 л",3210,1980 винстайл,1400,Италия,Зинфандель,15,,,,,,2799,1400
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,14,,,,,,1899,850
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,"13,5",,,,,,1400,нет в наличии
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,нет в наличии
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1590,590,500,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1650,590,530,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2020,740,740,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",,нет,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка ПЯТЬ ОЗЕР 40% 0,5Л",1410,бристоль 450,400,,,,,,,,,999,350
"Водка Зимняя деревенька на солодовом спирте 0,5",1500,бристоль 450,400,,,,,,,,,999,360
"Водка Тундра Аутентик 0,5",1550,450 бристоль,400,,,,,,,,,999,370
"Водка особая Немирофф Клюква ледяная 0,5 л",1480,,439,,,,,,,,,,
"Водка ХАСКИ АРКТИК АЙС 40% 0,5Л",1600,480,470,,,,,,,,,999,370
"Водка Русский Стандарт Голд 0,5",1620,520,500,,,,,,,,,1099,440
"Водка Белая Березка 0,5",1680,550,549,,,,,,,,,1099,410
"Водка МАМОНТ 40% 0,5Л",2750,1160,1150,,,,,,,,,1899,900
"Водка ОРГАНИКА 40% П/УП. 0,5Л + КНИГА",2850,615,1200,,,,,,,,,1999,900
"Водка Чистые росы 0,5 ",2900,1200,1200,,,,,,,,,2299,1090
"Водка Белуга Нобл 0,5 л",3100,1330,1200,,,,,,,,,2099,940
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2490,нет,1000,,,,,,,,,2199,1000
"Водка Спельта 0,5 ",,нет,нет,,,,,,,,,3000,нет в наличии
Водка Summum 0.5 л,,нет,нет,,,,,,,,,2600,нет в наличии
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Старлей 0,7 л",1620,595,520,,,,,,,,,,
"Водка Зимняя Деревенька на солодовом спирте  0,7",1770,605,600,,,,,,,,,1199,510
"Водка Тундра Аутентик 0,7",1800,615,600,,,,,,,,,1199,450
"Водка Пять Озер 0,7",1860,640,650,,,,,,,,,1299,640
"Водка ХАСКИ 40% 0,7Л",1900,665,650,,,,,,,,,1199,490
"Водка Белая Березка  0,7",1950,790,700,,,,,,,,,1699,850
"Водка Русский Стандарт  0,7",2000,800,700,,,,,,,,,1399,650
Водка Чистые Росы 0.7 л,3920,1840,1800,,,,,,,,,2799,1480
"Водка Суммум 0,7 л",4000,1900,1800,,,,,,,,,2999,1700
"Водка ОРГАНИКА ЛАЙФ 40% П/УП. 0,7Л",3390,нет,1500,,,,,,,,,2299,1100
"Водка ФИНЛЯНДИЯ 40% 0,7Л",3560,нет,1600,,,,,,,,,2699,1400
"Водка Грей Гуз 0,7 л",4020,нет,1850,,,,,,,,,4999,1795
"Водка АБСОЛЮТ 40% 0,7Л",,нет,нет,,,,,,,,,2399,1100
"Водка Дикий мед классика туба 0,7 л",,нет,нет,,,,,,,,,1299,620
Водка Danzka 0.7 л В железе,,нет,нет,,,,,,,,,2600,нет в наличии
Водка Узо Ромиос 0.7л,,нет,нет,,,,,,,,,2800,нет в наличии
"Водка Легенда Кремля, в подарочной упаковке ""Фолиант"" 0.7 л",,нет,нет,,,,,,,,,3300,нет в наличии
Водка Vodka Summum Organic Pepper 0.7 л,,нет,нет,,,,,,,,,3900,нет в наличии
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Водка особая Немирофф пшеница 1 л,2100,790,,,,,,,,,,,
Водка Зимняя Деревенька на солодовом спирте 1л,2120,820,800,,,,,,,,,1699,710
Водка Белая Березка 1Л,2310,930,900,,,,,,,,,1799,760
Водка Русский Стандарт 1л,2390,960,950,,,,,,,,,1799,830
Водка Медведь 1 л,2670,1150,1100,,,,,,,,,1899,900
,,,,,,,,,,,,,
"НАСТОЙКИ (0,25л от трех штук, 0,375 от 2шт)",новая цена (цена указана за 1шт),Наличие,new,,,,,,,,,цена,закуп
"Настойка горькая Немирофф Украинская Медовая с перцем 0,25 л",590,,197,,,,,,,,,,
"Водка особая Немирофф Пшеница 0,25 л",720,,239,,,,,,,,,,
"Настойка сладкая Немирофф клюква на коньяке 0,25 л",870,,289,,,,,,,,,,
"Настойка горькая Золотой Джокер 0,5 л",1110,,229,,,,,,,,,,
"Настойка сладкая Немирофф клюква на коньяке 0,5 л",1160,,256,,,,,,,,,,
"Настойка горькая Немирофф Украинская Медовая с перцем 0,5 л",1320,,349,,,,,,,,,,
"Настойка сладкая Немирофф Вишня в шоколаде 0,5 л",1260,,314,,,,,,,,,,
"Настойка Немирофф сладкая черная смородина 0,5 л",1270,,324,,,,,,,,,,
"Настойка горькая Немирофф Клюква крепкая 0,5 л",1480,,439,,,,,,,,,,
"Настойка горькая ХАСКИ ЦИТРУСОВЫЙ МИКС 38% 0,5Л",1500,440,,,,,,,,,,,420
"Настойка горькая Белая Березка Белый Налив 0,5 л",1590,510,,,,,,,,,,,
"Настойка горькая Царская груша 0,5 л",1600,580,,,,,,,,,,,
"Настойка горькая Золотой Джокер 0,25л",,,,,,,,,,,,,
"Настойка горькая Честная перцовая 0,375",,,,,,,,,,,,,
"Самогон Немирофф на кедровых орехах 0,5 л",,,,,,,,,,,,,
"Настойка горькая Немирофф Кедровая на апельсиновых корочках 0,5 л",,,,,,,,,,,,,
"Настойка Лимонка сладкая со вкусом лимона 0,5 л",,,,,,,,,,,,,
"Настойка Хаски Ягодный микс 0,5 л",,,,,,,,,,,,,
"Настойка Байкал Клюква полусладкая 0,5",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Водка (0,25л от трех штук, 0,375 от 2шт)",новая цена (цена указана за 1шт),Наличие,new,,,,,,,,,цена,закуп
"Водка Славянская мягкая на березовых почках 0,25 л",530,,175,,,,,,,,,,175
"Водка особая ЗЕЛЕНАЯ МАРКА КЕДРОВАЯ 40% 0,25Л",600,,200,,,,,,,,,,200
"Водка СТАРЛЕЙ 40% 0,25Л",630,210,200,,,,,,,,,,200
"Водка ПЯТЬ ОЗЕР 40% 0,25Л",690,230,205,,,,,,,,,,205
"Водка ТУНДРА АУТЕНТИК ВОДКА КРАЙНЕГО СЕВЕРА 40% 0,25Л",780,260,198,,,,,,,,,,198
"Водка Калашников 0,375 л",870,220,290,,,,,,,,,,290
"Водка особая ЗЕЛЕНАЯ МАРКА КЕДРОВАЯ 40% 0,375Л",960,,320,,,,,,,,,,320
"Водка Сталковская Альфа 0,25 л",1020,340,,,,,,,,,,,
"Водка Сталковская Альфа 0,375 л",,,,,,,,,,,,,
"Водка Честная 0,375 л",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Виски 0,5л",новая цена,наличие,new,,,,,,,,,цена,закуп
"Напиток спиртной зерновой купажированный Нобл Стаг Спайсд 0,5 л",1770,600,600,,,,,,,,,1499,560
"Виски Наки Томпсон 3 года купажированный 0,5",2300,960,800,,,,,,,,,1599,760
"Виски шотландский ВИЛЬЯМ ЛОУСОНС 40% 0,5Л",2490,1020,1000,,,,,,,,,1899,850
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2500,1020,1000,,,,,,,,,1999,890
