УФА,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,цена,,,закуп,,,,,,,
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,НЕТ,НЕТ,ЮАР,Пинотаж,"13,5",,,,,,,,,,1400,,,590,,,,,,,
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,НЕТ,НЕТ,Италия,Санджовезе\Мерло,"13,5",,,,,,,,,,1500,,,500,,,,,,,
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,НЕТ,НЕТ,Франция,Пино Нуар,14,,,,,,,,,,1800,,,850,,,,,,,
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",,НЕТ,нет,Италия,Неро д'Авола,13,,,,,,,,,,1900,,,870,,,,,,,
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",,НЕТ,НЕТ,Германия,Пино Нуар,"12,5",,,,,,,,,,2000,,,950,,,,,,,
"Вино Неро ди Тройя красное полусухое 0,75 л",,НЕТ,нет,Италия,Неро ди Троя,15,,,,,,,,,,2200,,,1200,,,,,,,
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",,НЕТ,нет,Италия,Сузуманьелло,"14,5",,,,,,,,,,2300,,,1300,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1680,,500,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,,,,,,,,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1780,,550,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,,,,,,,,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2150,,750,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,,,,,,,,,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,,,,,цена,,,закуп,,,,,,,
"Водка Дикий Мед на Липовом мёде\классика\на Прополисе\на Цветочном Мёде,  0,5 л",1600,дасковайн,450,,,,,,,,,,,,,,,,,,,,,,,
"Водка Белая Березка 0,5",1690,,502,,,,,,,,,,,,,1200,,,420,,,,,,,
"Водка Русский Стандарт Голд 0,5",1720,,520,,,,,,,,,,,,,1100,,,440,,,,,,,
"Водка Нерпа Байкал,  0,5 л",1740,дасковайн,530,,,,,,,,,,,,,,,,,,,,,,,
Водка Медведь 0.5,1810,,570,,,,,,,,,,,,,1300,,,690,,,,,,,
"Водка Белая Берёзка золотая,  0,5 л",1880,дасковайн,600,,,,,,,,,,,,,,,,,,,,,,,
"Водка Царская Золотая,  0,5 л",2060,дасковайн,700,,,,,,,,,,,,,,,,,,,,,,,
"Водка Белый чай имбирь 0,5 л",2240,,800,,,,,,,,,,,,,1500,,,750,,,,,,,
"Водка Дикий Мед,  0,5 л",2340,дасковайн,850,,,,,,,,,,,,,,,,,,,,,,,
"Водка Чайковский,  0,5 л",2430,дасковайн,900,,,,,,,,,,,,,,,,,,,,,,,
"Водка Мамонт,  0,5 л",2800,дасковайн,1099,,,,,,,,,,,,,,,,,,,,,,,
"Водка Шмидт Суприм,  0,5 л",2800,дасковайн,1099,,,,,,,,,,,,,,,,,,,,,,,
"Водка Данска,  0,5 л",2970,дасковайн,1190,,,,,,,,,,,,,,,,,,,,,,,
"Водка Органика Лайф,  0,5 л",2990,,1200,,,,,,,,,,,,,,,,,,,,,,,
"Водка Чистые Росы из ржаного зерна 0,5 л",2990,,1200,,,,,,,,,,,,,2500,,,1000,,,,,,,
"Водка Белуга Нобл 0,5 л",2990,,1200,,,,,,,,,,,,,2300,,,1100,,,,,,,
"Водка Онегин,  0,5 л",3170,дасковайн,1300,,,,,,,,,,,,,,,,,,,,,,,
"Онегин Органик Ориджинал 0,5 40% ОЗ Нива Россия,  0,5 л",3200,дасковайн,1300,,,,,,,,,,,,,,,,,,,,,,,
"Водка Чистые Росы,  0,5 л",3250,дасковайн,1300,,,,,,,,,,,,,,,,,,,,,,,
"Водка ЧИСТЫЕ РОСЫ ИЗ ЯЧМЕННОГО ЗЕРНА,  0,5 л",3250,дасковайн,1300,,,,,,,,,,,,,,,,,,,,,,,
"Водка Мамонт Айвери,  0,5 л",3300,дасковайн,1300,,,,,,,,,,,,,,,,,,,,,,,
"Водка Монблан,  0,5 л",4480,дасковайн,2000,,,,,,,,,,,,,,,,,,,,,,,
"Водка Зимняя деревенька на солодовом спирте 0,5",,нет в наличии,нет,,,,,,,,,,,,,1100,,,370,,,,,,,
"Водка Тундра Аутентик 0,5 ",,нет в наличии,нет,,,,,,,,,,,,,1000,,,390,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,,,,,цена,,,закуп,,,,,,,
"Водка Белая Березка  0,7",1850,,590,,,,,,,,,,,,,1400,,,590,,,,,,,
"Водка Дикий Мед Классика,  0,7 л",2060,,700,,,,,,,,,,,,,,,,,,,,,,,
"Водка Пять Озер 0,7",2060,,701,,,,,,,,,,,,,1200,,,460,,,,,,,
"Водка Зимняя Деревенька на солодовом спирте  0,7",2060,,701,,,,,,,,,,,,,1300,,,499,,,,,,,
"Водка Русский Стандарт  0,7",2060,,701,,,,,,,,,,,,,1400,,,640,,,,,,,
"Водка Царская Оригинальная,  0,7 л",2240,дасковайн,800,,,,,,,,,,,,,,,,,,,,,,,
"Водка Царская Золотая,  0,7 л",2610,дасковайн,1000,,,,,,,,,,,,,,,,,,,,,,,
"Водка Финляндия 0,7 л",2810,,1100,,,,,,,,,,,,,2700,,,1100,,,,,,,
"Водка Шмидт Суприм,  0,7 л",3490,дасковайн,1470,,,,,,,,,,,,,,,,,,,,,,,
"Водка Мамонт,  0,7 л",3550,дасковайн,1500,,,,,,,,,,,,,,,,,,,,,,,
"Водка Чистые росы 0,7 л",3690,,1580,,,,,,,,,,,,,2800,,,1450,,,,,,,
"Водка Чистые Росы из Ячменного зерна,  0,7 л",3920,дасковайн,1700,,,,,,,,,,,,,,,,,,,,,,,
"Водка Чистые Росы из ржаного зерна,  0,7 л",3920,дасковайн,1700,,,,,,,,,,,,,,,,,,,,,,,
"Водка Белуга Трансатлантик Рейсинг 0,7 л",4020,,1750,,,,,,,,,,,,,2700,,,970,,,,,,,
"Водка Суммум 0,7 л",4110,,1800,,,,,,,,,,,,,3000,,,1700,,,,,,,
"Водка Данска,  0,7 л",4300,дасковайн,1900,,,,,,,,,,,,,,,,,,,,,,,
"Водка Тенжаку,  0,7 л",5970,дасковайн,2800,,,,,,,,,,,,,,,,,,,,,,,
"Водка Онегин,  0,7 л",4480,дасковайн,2000,,,,,,,,,,,,,,,,,,,,,,,
"Водка Данска Грейпфрут,  0,7 л",4660,дасковайн,2099,,,,,,,,,,,,,,,,,,,,,,,
"Водка Абсолют,  0,7 л",4830,дасковайн,2190,,,,,,,,,,,,,,,,,,,,,,,
"Водка Тундра Аутентик 0,7 ",,нет в наличии,нет,,,,,,,,,,,,,1200,,,450,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,,,,,цена,,,закуп,,,,,,,
Водка Белая Березка 1Л,2190,,770,,,,,,,,,,,,,1500,,,770,,,,,,,
Водка Русский Стандарт 1л,2610,,1000,,,,,,,,,,,,,1600,,,830,,,,,,,
"Водка Пять Озер,  1,0 л",2610,дасковайн,1002,,,,,,,,,,,,,,,,,,,,,,,
"Водка Царская Оригинальная,  1,0 л",2800,дасковайн,1099,,,,,,,,,,,,,,,,,,,,,,,
Водка Медведь 1 л,2810,,1100,,,,,,,,,,,,,1800,,,900,,,,,,,
"Водка Чистые Росы,  1,0 л",5040,дасковайн,2300,,,,,,,,,,,,,,,,,,,,,,,
"Водка Чистые Росы из ржаного зерна,  1,0 л",5600,дасковайн,2600,,,,,,,,,,,,,,,,,,,,,,,
"Водка Коскенкорва,  1,0 л",6350,дасковайн,3000,,,,,,,,,,,,,,,,,,,,,,,
"Водка Грей Гуз,  1,0 л",10640,дасковайн мало,5300,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,,,,,цена,,,закуп,,,,,,,
"Виски Наки Томпсон 3 года купажированный 0,5",2240,,800,,,,,,,,,,,,,1500,,,770,,,,,,,
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2480,,930,,,,,,,,,,,,,1600,,,900,,,,,,,
"Виски Бэллс Ориджинал,  0,5 л",2990,дасковайн,1200,,,,,,,,,,,,,,,,,,,,,,,
"Виски Дюарс Белая Этикетка,  0,5 л",3090,дасковайн,1250,,,,,,,,,,,,,,,,,,,,,,,
"Виски Баллантайнс Файнест,  0,5 л",3920,дасковайн,1700,,,,,,,,,,,,,,,,,,,,,,,
"Виски Джим Бим,  0,5 л",5040,дасковайн,2300,,,,,,,,,,,,,,,,,,,,,,,
"Виски Джек Дэниел'с Теннесси,  0,5 л",5790,дасковайн,2700,,,,,,,,,,,,,,,,,,,,,,,
"Виски Тенжаку Пьюа Молт,  0,5 л",7840,дасковайн,3800,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,,,,,цена,,,закуп,,,,,,,
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2410,,890,,,,,,,,,,,,,1400,,,630,,,,,,,
"Виски Гродас Селекшн,  0,75 л",2620,дасковайн,999,,,,,,,,,,,,,,,,,,,,,,,
"Виски Наки Томпсон 3 года купажированный 0,7",2710,,1050,,,,,,,,,,,,,1800,,,1050,,,,,,,
"Виски купажированный шотландский Сир Эдвардс 0,7 л",2990,,1200,,,,,,,,,,,,,1800,,,980,,,,,,,
"Виски Скотс Голд 0,7 л ",2990,,1200,,,,,,,,,,,,,1800,,,?,,,,,,,
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7 ",3090,,1250,,,,,,,,,,,,,1900,,,1200,,,,,,,
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3090,,1250,,,,,,,,,,,,,2400,,,1350,,,,,,,
"Виски Джонни Уокер Рэд Лейбл,  0,7 л",3550,"дасковайн,кб",1500,,,,,,,,,,,,,,,,,,,,,,,
"Виски Бэллс Ориджинал,  0,7 л",3730,дасковайн,1600,,,,,,,,,,,,,,,,,,,,,,,
"Виски О'ДОНЕЛЛИ,  0,7 л",4480,дасковайн,2000,,,,,,,,,,,,,,,,,,,,,,,
"Виски Баллантайнс Файнест не менее 3 лет 0,7 л",4480,,2000,,,,,,,,,,,,,3900,,,1600,,,,,,,
"Виски Теннесси Джек Дениел`с 0,7",4480,,2000,,,,,,,,,,,,,3300,,,1800,,,,,,,
"Виски Джемесон не менее 3 лет купажир. 0,7",5230,,2400,,,,,,,,,,,,,3800,,,2590,,,,,,,
"Виски Джим Бим Саншайн,  0,7 л",4660,дасковайн,2099,,,,,,,,,,,,,,,,,,,,,,,
"Виски Джим Бим Блэк Черри,  0,7 л",5230,"дасковайн,кб",2400,,,,,,,,,,,,,,,,,,,,,,,
"Виски Джим Бим Белый,  0,7 л",6150,"дасковайн,кб",2900,,,,,,,,,,,,,,,,,,,,,,,
"Виски Уистлер Дабл Оакед Айриш Виски,  0,7 л",7660,дасковайн,3700,,,,,,,,,,,,,,,,,,,,,,,
"Виски БЭЛМОР ДРЮ регион Хайленд 5 лет,  0,7 л",8020,дасковайн,3900,,,,,,,,,,,,,,,,,,,,,,,
"Виски Тенжаку,  0,7 л",8770,дасковайн,4300,,,,,,,,,,,,,,,,,,,,,,,
"Виски МакЛелэнд'с Хайлэнд,  0,7 л",9150,дасковайн,4500,,,,,,,,,,,,,,,,,,,,,,,
Виски Макерс Марк 0.7л,9510,дасковайн,4700,,,,,,,,,,,,,6200,,,3100,,,,,,,
