КАЗАНЬ,,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,новая цена,,цена,закуп
"Коньяк ординарный Армянский Коньяк 5 лет 0,5 л",1880,,660,,,,,,,,,,1200,560
"Коньяк Кочари 5 лет 0,5",1950,,700,,,,,,,,,,1400,680
"Коньяк Фанагория 5 лет 0,5 л",2040,,750,,,,,,,,,,1300,610
"Коньяк Армянский Кочари 7 лет подарочный п/к 0,5",2180,,830,,,,,,,,,,1500,740
"Коньяк Старейшина 5 лет 0,5",2310,,900,,,,,,,,,,1500,740
Коньяк Старейшина 7 лет 0.5,2490,,1000,,,,,,,,,,1800,770
"Коньяк Ной Традиционный 5 лет 0,5",2540,,1030,,,,,,,,,,1600,850
"Коньяк Армянский Арарат 5 лет п/к 0,5",3020,,1300,,,,,,,,,,1900,1200
"Бренди Делор Фрер V.S. 0,5 л",3560,,1600,,,,,,,,,,2800,1600
,,,,,,,,,,,,,,
"КОНЬЯК 0,7л",новая цена,Наличие,New,,,,,,,,,,цена,закуп
"Бренди Семболь Националь ХО 0,7 л",4110,,1900,,,,,,,,,,2600,1800
"Кальвадос Дюк Де Норманди ВС п/к 0,7 л",4650,,2200,,,,,,,,,,3200,2200
"Бренди Делор Фрер V.S.O.P. п/к 0,7 л",5550,,2700,,,,,,,,,,4200,2700
"Бренди Делор Фрер X.O. п/к 0,7 л",8420,,4300,,,,,,,,,,5200,4300
"Коньяк Готье ВСОП п/к 0,7 л",8780,,4500,,,,,,,,,,4600,4500
"Коньяк КУРВУАЗЬЕ ВС 40% П/УП. 0,7Л ",9850,бристоль,5100,,,,,,,,,,6100,5100
"Коньяк СЕН КЛО XO в п/к 0,7 л",10560,,5500,,,,,,,,,,8000,5500
"Коньяк Курвуазье VSOP п/к 0,7",12730,бристоль,6700,,,,,,,,,,8000,6700
"Коньяк А.де Фуссиньи ХО п/к 0,5 л",15060,,8000,,,,,,,,,,8000,7000
"Коньяк Курвуазье ХО п/к 0,7 л",38410,,21000,,,,,,,,,,24000,21000
"Коньяк ординарный РЕМИ МАРТАН ВСОП 4 ГОДА 40% 0,7Л",,нет,7800,,,,,,,,,,8600,7550
"Бренди ТОРРЕС 5 СОЛЕРА РЕЗЕРВА 38% 0,5Л ",,нет,нет,,,,,,,,,,2200,940
"Коньяк Мартель XO Экстра Олд п/к 0,7 л",,нет,нет,,,,,,,,,,25000,22500
,,,,,,,,,,,,,,
"РОМ 0,5л",новая цена,Наличие,New,,,,,,,,,,цена,закуп
"Ром Капитан Жан Лафитт дарк 0,5 л",1590,,500,,,,,,,,,,,
"Напиток спиртной на основе рома Оакхарт Ориджинал Бакарди 0,5",2310,,900,,,,,,,,,,1700,800
