ИРКУТСК,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,цена,закуп
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,"13,5",,,,,,1500,500
,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1880,,600,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1840,,580,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2240,,800,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,
,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Зимняя деревенька на солодовом спирте 0,5",1550,,430,,,,,,,,,1100,360
"Водка Тундра Аутентик 0,5",1600,,450,,,,,,,,,1100,390
"Водка Русский Стандарт Голд 0,5",1680,,500,,,,,,,,,1100,440
"Водка Белая Березка 0,5",1780,,550,,,,,,,,,1100,420
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2610,,1000,,,,,,,,,1800,1000
"Водка ЧИСТЫЕ РОСЫ 40% 0,5Л",2990,бристоль,1200,,,,,,,,,2500,1100
,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Водка Тундра Аутентик 0,7",1880,,600,,,,,,,,,1200,450
"Водка Зимняя Деревенька на солодовом спирте  0,7",1880,,600,,,,,,,,,1300,490
"Водка Пять Озер 0,7",1910,,620,,,,,,,,,1200,460
"Водка Белая Березка  0,7",2060,,700,,,,,,,,,1400,590
"Водка Русский Стандарт  0,7",2060,,700,,,,,,,,,1400,630
"Водка особая СИБИРСКИЙ ЭКСПРЕСС 40% 0,7Л",2990,бристоль,1200,,,,,,,,,2500,1100
Водка Органика Лайф 0.7л       ,3550,бристоль,1500,,,,,,,,,2700,1000
"Водка БЕЛУГА ТРАНСАТЛАНТИК РЕЙСИНГ 40% 0,7Л ",4020,,1750,,,,,,,,,2700,970
"Водка ЧИСТЫЕ РОСЫ 40% 0,7Л",4110,,1800,,,,,,,,,2700,1400
"Водка Суммум 0,7 л",4110,,1800,,,,,,,,,3000,1700
"Водка ФИНЛЯНДИЯ 40% 0,7Л ",4110,,1800,,,,,,,,,2800,1400
"Водка АБСОЛЮТ 40% 0,7Л",,нет,нет,,,,,,,,,2800,1150
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,цена,закуп
Водка Зимняя Деревенька на солодовом спирте 1л,2240,,800,,,,,,,,,1500,760
Водка Русский Стандарт 1л,2470,,920,,,,,,,,,1600,830
Водка Белая Березка 1Л,2520,,950,,,,,,,,,1600,770
Водка Медведь 1 л,2780,,1090,,,,,,,,,1900,900
,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,цена,закуп
"Напиток спиртной зерновой купажированный Нобл Стаг Спайсд 0,5 л",1950,,640,,,,,,,,,1400,640
"Виски Наки Томпсон 3 года купажированный 0,5",2320,,840,,,,,,,,,1600,730
"Виски шотландский ВИЛЬЯМ ЛОУСОНС 40% 0,5Л",2610,,1000,,,,,,,,,1700,780
