,новая цена,Наличие,NEW,страна,сорт винограда,крепость,,,,,,цена,закуп
"Водка Русский Стандарт  0,7",1950,,700,,,,,,,,,1799,620
"Водка Дикий мед классика туба 0,7 л",2020,,740,,,,,,,,,1799,650
"Водка Белая Березка  0,7",2040,,750,,,,,,,,,1699,600
"Водка Онегин 0,7 л",3250,,1420,,,,,,,,,3499,1420
"Водка БЕЛУГА ТРАНСАТЛАНТИК РЕЙСИНГ 40% 0,7Л",3750,,1700,,,,,,,,,3199,1440
"Водка Чистые росы 0,7",3920,,1800,,,,,,,,,2999,1370
Водка Summum 0.7 л,3990,,1840,,,,,,,,,3899,1750
"Водка Грей Гуз 0,7 л",6980,,3500,,,,,,,,,4999,2100
"Водка Absolut 0,7л",,нет,1840,,,,,,,,,2999,1400
"Водка ОРГАНИКА ЛАЙФ 40% П/УП. 0,7Л",,нет,нет,,,,,,,,,2399,970
Водка Суммум в премиальной упаковке 0.75 л,,нет,нет,,,,,,,,,3800,нет
Водка Данска 0.7л в железе,,нет,нет,,,,,,,,,3200,НЕТ
,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,NEW,,,,,,,,,цена,закуп
Водка Талка 1 л,2120,бристоль,800,,,,,,,,,1899,660
Водка Хаски 1 л,2120,бристоль,800,,,,,,,,,1999,730
Водка ПЯТЬ ОЗЕР 40% 1Л,2180,бристоль,830,,,,,,,,,1899,640
Водка Зимняя Деревенька на солодовом спирте 1л,2120,бристоль,800,,,,,,,,,1999,710
Водка Русский Стандарт 1л,2350,,920,,,,,,,,,2099,840
Водка Белая Березка 1л,2390,,950,,,,,,,,,1999,760
,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,NEW,,,,,,,,,цена,закуп
"Виски купажированный шотландский Нобл Стаг спайсд 0,5 л",1690,,560,,,,,,,,,1599,480
"Виски купажированный шотландский Нобл Стаг яблоко 0,5 л",1690,,560,,,,,,,,,1599,480
"Виски купажированный шотландский Нобл Стаг 0,5 л",1930,,690,,,,,,,,,1599,620
"Виски Наки Томпсон 3 года купажированный 0,5",2080,,770,,,,,,,,,1799,770
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2490,,1000,,,,,,,,,1799,760
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2500,,1000,,,,,,,,,1899,800
"Виски ДЖИМ БИМ РЭД СТАГ БЛЭК ЧЕРРИ 4 ГОДА  0,5Л",,НЕТ ,нет,,,,,,,,,2999,1400
"Виски Баллантайнс Файнест не менее 3 лет купажир. 0,5",,НЕТ ,нет,,,,,,,,,3200,НЕТ
"Виски Джемесон не менее 3 лет купажир. 0,5",,НЕТ ,нет,,,,,,,,,3300,НЕТ
,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,NEW,,,,,,,,,цена,закуп
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2110,,790,,,,,,,,,1899,640
"Виски Наки Томпсон 3 года купажированный 0,7",2580,,1050,,,,,,,,,1999,950
"Виски купажированный шотландский Сир Эдвардс 0,7 л",2940,,1250,,,,,,,,,2499,1130
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7",3020,,1300,,,,,,,,,2199,1040
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3020,,1300,,,,,,,,,2299,1000
"Виски (бурбон) Джим Бим 4 года зерновой 0,7",3210,,1400,,,,,,,,,2999,1400
"Виски Дюарс Уайт Лейбл 3 года 0,7 л",3560,,1600,,,,,,,,,2799,1300
"Виски Дюарс Португиз Смуз 8 лет шотландский купажированный 0,7 л",4110,,1900,,,,,,,,,3999,1700
"Виски Баллантайнс Файнест не менее 3 лет купажир. 0,75",4280,,2000,,,,,,,,,3199,1500
"Виски Джонни Уокер Рэд Лейбл 0,7 л",4650,,2200,,,,,,,,,2699,1300
"Виски Джек Дэниел`с Теннесси 0,7 ",4650,,2200,,,,,,,,,3899,1820
"Спиртной напиток на осн. односолодового виски ПОУГС МЕДОВЫЙ 35% 0,7Л",5010,бристоль,2400,,,,,,,,,3299,1550
"Виски Джим Бим Эппл 0,7 л",5180,,2500,,,,,,,,,3499,2500
"Нап.спиртной Джим Бим Пич 0,7 л",5360,,2600,,,,,,,,,3499,2600
"Спиртной напиток ДЖЕК ДЭНИЕЛС ТЕННЕССИ ХАНИ ЛИКЕР 35% 0,7Л",5360,бристоль,2600,,,,,,,,,4499,НЕТ
"Виски купажированный Инаизуми п/к 0,7 л",5420,,2630,,,,,,,,,4399,2300
"Спиртной напиток на основе виски ДЖЕМЕСОН АПЕЛЬСИН 30% 0,7Л",5720,,2800,,,,,,,,,3699,1950
"Виски Гранжстоун бурбон каск финиш п/к 0,7 л",5890,,2900,,,,,,,,,4499,2800
"Виски Джемесон не менее 3 лет купажир. 0,75",6080,,3000,,,,,,,,,3999,2000
"Виски шотл. купаж. ДЖОННИ УОКЕР БЛЭК ЛЕЙБЛ 12 ЛЕТ 40% (П/УП./) 0,7",6440,бристоль,3200,,,,,,,,,5499,2420
"Виски Джонни Уокер Блэк Лейбл 12 лет 0,7 л ",6440,,3200,,,,,,,,,4999,2420
"Виски Дюарс Спешиал Резерв 12 лет шотландский купажированный 0,7 л",7690,,3900,,,,,,,,,5499,3450
"Виски купажированный ХАТОЗАКИ 3 ГОДА 40% 0,7Л ",7880,бристоль,4000,,,,,,,,,4999,3000
Виски Чивас Ригал 12 лет купажир. п/к 0.75,7880,,4000,,,,,,,,,4999,2950
Виски Чивас Ригал 18 лет купажир. п/к 0.75 ,19730,,10600,,,,,,,,,14999,8600
"Виски Макаллан Дабл Каск 12 лет п/к 0,7 л",27630,,15000,,,,,,,,,14999,10000
"Виски Джонни Уокер Голд Лейбл 0,7 л ",,нет,нет,,,,,,,,,12999,9000
"Напиток спиртной Джим Бим Блэк Черри 0,7 л",,нет,нет,,,,,,,,,3499,2500
"Спиртной напиток ДЖЕК ДЭНИЕЛС ТЕННЕССИ ФАЭР 35% 0,7Л",,нет,нет,,,,,,,,,3499,1600
"Спиртной напиток на основе виски ДЖЕМЕСОН ИМБИРЬ И ЛАЙМ 30% 0,7Л",,нет,нет,,,,,,,,,3499,1600
"Виски Мэйкерс Марк 0,7 л",,нет,нет,,,,,,,,,4599,1900
"Виски Чивас Ригал 15 лет шотландский купажированный 0,75 л",,нет,нет,,,,,,,,,11999,7000
"Виски Балвэни Даблвуд 12 лет п/к 0,7 л",,нет,нет,,,,,,,,,12999,8200
Виски The Macallan Sherry Oak 18 Years Old 0.7 л,,нет,нет,,,,,,,,,59999,50000
Виски Balblair 25 Year Old 0.7л,,нет,нет,,,,,,,,,79999,60000
,,,,,,,,,,,,,
ВИСКИ 1л,новая цена,Наличие,NEW,,,,,,,,,цена,закуп
Виски Джонни Уокер Рэд Лейбл  1л ,5010,очеь мало,2400,,,,,,,,,3799,1850
