Нижний Новгород,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО БЕЛОЕ СУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1790,,560,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,,,,,,,,,,,1600,,550
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1880,,600,Грузия,Саперави,12,,,,,,,,,,,,,,,,1700,,590
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2060,,700,Грузия,Саперави,12,,,,,,,,,,,,,,,,1900,,630
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2240,,800,Грузия,Саперави,11,,,,,,,,,,,,,,,,2000,,690
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,мало,1100,Грузия,Саперави,12,,,,,,,,,,,,,,,,2100,,1000
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",1530,нет,550,Грузия,Саперави,"11,5",,,,,,,,,,,,,,,,1500,,500
Вино Трамонтана Апулия красное полусладкое,1450,нет ,500,Италия,Санджовезе,"10,5",,,,,,,,,,,,,,,,1000,,450
,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,цена,,закуп
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1780,,550,Грузия,Саперави,"11,5",,,,,,,,,,,,,,,,1100,,550
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2120,,730,Италия,Негроамаро,13,,,,,,,,,,,,,,,,1500,,700
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2130,,740,Италия,Монтепульчано,13,,,,,,,,,,,,,,,,1600,,730
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2130,,740,Италия,Примитиво\Негроамаро,15,,,,,,,,,,,,,,,,1700,,730
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2190,,770,Италия,Примитиво,"13,5",,,,,,,,,,,,,,,,1500,,650
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2300,,830,Италия,Монтепульчано,13,,,,,,,,,,,,,,,,1800,,770
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2400,,880,Италия,Неро д'Авола,13,,,,,,,,,,,,,,,,1900,,870
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2430,,900,Италия,Примитиво,14,,,,,,,,,,,,,,,,1900,,850
