САМАРА,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСЛАДКОЕ,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Вино Блэк Бёрд Вестерн Кейп Во красное полусладкое 0,75 л",1950,,450,ЮАР,Пинотаж,,,450,,,,,,,,,,,1500,,,,,,,,,,,,,
"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1790,,550,Грузия,Саперави,,,500,,,,,,,,,,,1400,,,,,,,,,,,,,
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",2070,,550,Чили,Каберне Совиньон\Карменер\Шираз,,,550,,,,,,,,,,,1600,,,,,,,,,,,,,
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",2200,,550,Грузия,Саперави,,,500,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",2190,,590,Грузия,Саперави,,,530,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2550,,800,Грузия,Саперави,,,750,,,,,,,,,,,2000,,,,,,,,,,,,,
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,,,990,,,,,,,,,,,2100,,,,,,,,,,,,,
Вино Трамонтана Апулия красное полусладкое,,НЕТ,НЕТ,Италия,Санджовезе,,,500,,,,,,,,,,,1000,,,,,,,,,,,,,
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,НЕТ,НЕТ,Грузия,Саперави,,,490,,,,,,,,,,,1500,,,,,,,,,,,,,
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",,нет,нет,Грузия,Саперави,,,600,,,,,,,,,,,1900,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1600,,450,Грузия,Саперави,,,400,,,,,,,,,,,1100,,,,,,,,,,,,,
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2040,,670,Италия,Монтепульчано,,,670,,,,,,,,,,,1600,,,,,,,,,,,,,
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2170,,700,Италия,Примитиво\Негроамаро,,,730,,,,,,,,,,,1700,,,,,,,,,,,,,
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2120,,730,Италия,Негроамаро,,,650,,,,,,,,,,,1500,,,,,,,,,,,,,
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2190,,770,Италия,Примитиво,,,700,,,,,,,,,,,1699,,,,,,,,,,,,,
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2370,,870,Италия,Монтепульчано,,,770,,,,,,,,,,,1800,,,,,,,,,,,,,
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2400,,870,Италия,Неро д'Авола,,,870,,,,,,,,,,,1900,,,,,,,,,,,,,
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2430,,900,Италия,Ува Лонганези,,,900,,,,,,,,,,,1900,,,,,,,,,,,,,
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2480,,930,Италия,Примитиво,,,850,,,,,,,,,,,1900,,,,,,,,,,,,,
"Вино Баррелая красное полусухое 0,75 л",2640,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,,,1000,,,,,,,,,,,2100,,,,,,,,,,,,,
"Вино Кьянти Ризерва красное полусухое 0,75 л",2810,,1100,Италия,Санджовезе\Мерло,,,950,,,,,,,,,,,2000,,,,,,,,,,,,,
"Вино Неро ди Тройя красное полусухое 0,75 л",2990,,1200,Италия,Неро ди Троя,,,1200,,,,,,,,,,,2200,,,,,,,,,,,,,
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3170,,1300,Италия,Монтепульчано,,,1100,,,,,,,,,,,2200,,,,,,,,,,,,,
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3170,,1300,Италия,Сузуманьелло,,,1300,,,,,,,,,,,2300,,,,,,,,,,,,,
Вино ВайНот?! IGP красное полусухое,3370,,1400,Италия,Зинфандель,,,1400,,,,,,,,,,,2500,,,,,,,,,,,,,
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,нет,Франция,Пино Нуар,,,850,,,,,,,,,,,1800,,,,,,,,,,,,,
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",,нет,нет,Германия,Пино Нуар,,,950,,,,,,,,,,,2000,,,,,,,,,,,,,
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,нет,нет,ЮАР,Пинотаж,,,нет в наличии,,,,,,,,,,,1400,,,,,,,,,,,,,
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,нет,нет,Италия,Санджовезе\Мерло,,,нет в наличии,,,,,,,,,,,1500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,,,,,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1610,,460,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,,,,,,,,,,,,,,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1680,,500,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,,,,,,,,,,,,,,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2150,,750,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,,,,,,,,,,,,,,,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Водка Зимняя деревенька на солодовом спирте 0,5",1550,бристоль,430,,,,,360,,,,,,,,,,,1100,,,,,,,,,,,,,
"Водка ПЯТЬ ОЗЕР 40% 0,5Л",1570,,440,,,,,380,,,,,,,,,,,999,,,,,,,,,,,,,
"Водка Тундра Аутентик 0,5",1570,,440,,,,,390,,,,,,,,,,,1000,,,,,,,,,,,,,
"Водка ХАСКИ АРКТИК АЙС 40% 0,5Л",1630,,470,,,,,370,,,,,,,,,,,999,,,,,,,,,,,,,
"Водка Русский Стандарт Голд 0,5",1680,,500,,,,,440,,,,,,,,,,,1100,,,,,,,,,,,,,
"Водка Белая Березка 0,5",1780,,550,,,,,420,,,,,,,,,,,1100,,,,,,,,,,,,,
"Водка БЕРИНГОФФ 40% 0,5Л",2590,бристоль,670,,,,,670,,,,,,,,,,,2000,,,,,,,,,,,,,
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2920,,1000,,,,,1000,,,,,,,,,,,2299,,,,,,,,,,,,,
"Водка ОРГАНИКА 40% П/УП. 0,5Л + КНИГА",2990,бристоль,1200,,,,,900,,,,,,,,,,,1999,,,,,,,,,,,,,
"Водка МАМОНТ 40% 0,5Л",3000,бристоль,1200,,,,,1200,,,,,,,,,,,2399,,,,,,,,,,,,,
"Водка Чистые росы 0,5 ",3140,бристоль,1200,,,,,1100,,,,,,,,,,,2500,,,,,,,,,,,,,
"Водка БЕЛУГА НОБЛ 40% 0,5Л",2990,,1200,,,,,1100,,,,,,,,,,,2300,,,,,,,,,,,,,
"Водка БЕЛЕНЬКАЯ ЗОЛОТАЯ НА СПИРТЕ АЛЬФА 40% 0,5Л",,нет,нет,,,,,300,,,,,,,,,,,999,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,закуп,,,,,,,,,,,цена,,,,,,,,,,,,,
"Водка Зимняя Деревенька на солодовом спирте  0,7",1850,,590,,,,,490,,,,,,,,,,,1300,,,,,,,,,,,,,
"Водка Тундра Аутентик 0,7",1880,,600,,,,,460,,,,,,,,,,,1200,,,,,,,,,,,,,
"Водка Пять Озер 0,7",1910,,620,,,,,460,,,,,,,,,,,1200,,,,,,,,,,,,,
"Водка ХАСКИ 40% 0,7Л",1960,бристоль,650,,,,,490,,,,,,,,,,,1199,,,,,,,,,,,,,
"Водка Дикий мед классика туба 0,7 л",2060,,700,,,,,620,,,,,,,,,,,1399,,,,,,,,,,,,,
"Водка Русский Стандарт  0,7",2060,,700,,,,,620,,,,,,,,,,,1400,,,,,,,,,,,,,
"Водка Белая Березка  0,7",2080,,710,,,,,590,,,,,,,,,,,1400,,,,,,,,,,,,,
"Водка особая СИБИРСКИЙ ЭКСПРЕСС 40% 0,7Л",3170,бристоль,1300,,,,,1100,,,,,,,,,,,2500,,,,,,,,,,,,,
"Водка ОРГАНИКА ЛАЙФ 40% П/УП. 0,7Л",3550,бристоль,1500,,,,,900,,,,,,,,,,,2099,,,,,,,,,,,,,
"Водка ФИНЛЯНДИЯ 40% 0,7Л",3550,,1500,,,,,1250,,,,,,,,,,,2700,,,,,,,,,,,,,
"Водка БЕЛУГА ТРАНСАТЛАНТИК РЕЙСИНГ 40% 0,7Л",3920,,1700,,,,,960,,,,,,,,,,,2700,,,,,,,,,,,,,
"Водка Онегин 0,7 л",3920,,1700,,,,,1140,,,,,,,,,,,2799,,,,,,,,,,,,,
"Водка Чистые росы 0,7",4110,,1800,,,,,1350,,,,,,,,,,,2700,,,,,,,,,,,,,
"Водка Суммум 0,7 л",4370,,1800,,,,,1700,,,,,,,,,,,3499,,,,,,,,,,,,,
"Водка КАСПИЙ КАВИАР ЭДИШЕН 40% 0,7Л",,нет,1834,,,,,1000,,,,,,,,,,,2400,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
