"Вино Музаради Киндзмараули красное полусладкое 0,75 л",1780,,550,Грузия,Саперави,11,,,,,,,,,,,,500,,,,,,,,1599
"Вино Рио Рика Ред Бленд красное полусладкое 0,75 л",1780,,550,Чили,Каберне Совиньон\Карменер\Шираз,"12,5",,,,,,,,,,,,530,,,,,,,,1699
"Вино Мукузани Кахури Гвинис Марани красное сухое 0,75 л",1780,,550,Грузия,Саперави,12,,,,,,,,,,,,600,,,,,,,,1499
"Вино Кахури Киндзмараули красное полусладкое 0,75 л",1850,,590,Грузия,Саперави,12,,,,,,,,,,,,630,,,,,,,,1699
"Вино Киндзмараули Шалвино красное полусладкое 0,75 л",2030,,690,Грузия,Саперави,12,,,,,,,,,,,,990,,,,,,,,1899
"Вино Киндзмараули Бадагони красное полусладкое 0,75 л",2320,,840,Грузия,Саперави,11,,,,,,,,,,,,490,,,,,,,,1999
"Вино Киндзмараули Виниверия красное полусладкое 0,75 л",2810,,1100,Грузия,Саперави,12,,,,,,,,,,,,,,,,,,,,2499
Вино Трамонтана Апулия красное полусладкое,,нет,500,Италия,Санджовезе,"10,5",,,,,,,,,,,,550,,,,,,,,1299
"Вино Tabla Киндзмараули красное полусладкое 0,75 л",,НЕТ,НЕТ,Грузия,Саперави,"11,5",,,,,,,,,,,,закуп,,,,,,,,1499
,,,,,,,,,,,,,,,,,,400,,,,,,,,
ВИНО КРАСНОЕ ПОЛУСУХОЕ,новая цена,Наличие,New,страна,сорт винограда,крепость,,,,,,,,,,,,770,,,,,,,,цена
"Вино Пиросмани Кахури Гвинис Марани красное полусухое 0,75 л",1600,,450,Грузия,Саперави,"11,5",,,,,,,,,,,,730,,,,,,,,1499
"Вино Пьетраме Монтепульчано Д`Абруццо красное полусухое 0,75 л",2000,,670,Италия,Монтепульчано,13,,,,,,,,,,,,650,,,,,,,,1999
"Вино Бастиони Делла Рокка Аппассименто красное полусухое 0,75 л",2060,,700,Италия,Примитиво\Негроамаро,15,,,,,,,,,,,,700,,,,,,,,1849
"Вино Фортецца деи Колли Негроамаро красное полусухое 0,75 л",2120,,730,Италия,Негроамаро,13,,,,,,,,,,,,770,,,,,,,,1799
"Вино Фортецца Деи Колли Примитиво красное полусухое 0,75 л",2190,,770,Италия,Примитиво,"13,5",,,,,,,,,,,,870,,,,,,,,1899
"Вино Пьетраме Монтепульчано Д`Абруццо Лимитата кр.полусух 0,75 л",2370,,870,Италия,Монтепульчано,13,,,,,,,,,,,,900,,,,,,,,1999
"Вино Виллакьяра Неро Д`Авола Сицилия ДОП красное полусухое 0,75 л",2370,,870,Италия,Неро д'Авола,13,,,,,,,,,,,,850,,,,,,,,2599
"Вино Примо Фиоре Ува Лонганези красное полусухое 0,75 л",2430,,900,Италия,Ува Лонганези,"13,5",,,,,,,,,,,,950,,,,,,,,2699
"Вино Эпикуро Примитиво красное полусухое 0,75 л",2480,,930,Италия,Примитиво,14,,,,,,,,,,,,1000,,,,,,,,2499
"Вино Пино Нуар Лесс Зибенштейн красное полусухое 0,75 л",2520,,950,Германия,Пино Нуар,"12,5",,,,,,,,,,,,950,,,,,,,,2799
"Вино Баррелая красное полусухое 0,75 л",2610,,1000,Италия,Мерло\Каберне Совиньон\Сира/Шираз\Санджовезе,"13,5",,,,,,,,,,,,1200,,,,,,,,2999
"Вино Кьянти Ризерва красное полусухое 0,75 л",2810,,1100,Италия,Санджовезе\Мерло,13,,,,,,,,,,,,1100,,,,,,,,2799
"Вино Неро ди Тройя красное полусухое 0,75 л",2990,,1200,Италия,Неро ди Троя,15,,,,,,,,,,,,1300,,,,,,,,3299
"Вино Орапьена Монтепульчано д'Абруццо Ризерва красное полусухое 0,75 л",3170,,1300,Италия,Монтепульчано,"13,5",,,,,,,,,,,,1400,,,,,,,,3099
"Вино Сузуманьелло Гран Аппассо красное полусухое 0,75 л",3170,,1300,Италия,Сузуманьелло,"14,5",,,,,,,,,,,,850,,,,,,,,3399
Вино ВайНот?! IGP красное полусухое,3370,,1400,Италия,Зинфандель,15,,,,,,,,,,,,470,,,,,,,,3499
"Вино Кот де Сомме Пино Нуар красное полусухое 0,75 л",,нет,НЕТ,Франция,Пино Нуар,14,,,,,,,,,,,,500,,,,,,,,2499
"Вино Спенсер Бэй Пинотаж красное полусухое 0,75 л",,НЕТ,НЕТ,ЮАР,Пинотаж,"13,5",,,,,,,,,,,,,,,,,,,,1599
"Вино Кальдора Санджовезе Мерло красное полусухое 0,75 л",,НЕТ,НЕТ,Италия,Санджовезе\Мерло,"13,5",,,,,,,,,,,,закуп,,,,,,,,1599
,,,,,,,,,,,,,,,,,,,,,,,,,,
ПОРТВЕЙН,новая цена,наличие,New,Наличие,страна,сорт винограда,крепость,,,,,,,,,,,,,,,,,,,
"Вино ликерное ПОРТВЕЙН Красный Гурзуф крепкое красное 0,75 л",1600,,450,,Россия,Бастардо\Магарачский\Каберне Совиньон\Саперави,17,,,,,,,,,,,,,,,,,,,
"Вино ликерное Портвейн белый Гурзуф Крым крепкое белое 0,75 л",1600,,450,,Россия,Кокур\Первенец Магарача\Шардоне\Алиготе\Ркацители\Мускат\Италия\Мускат Янтарный,17,,,,,,,,,,,,,,,,,,,
"Вино ликерное Массандра Портвейн Белый Крымский 0,75 л",2000,,670,,Россия,Кокур\Ркацители\Алиготе,"17,5",,,,,,,,,,,,,,,,,,,
"Портвейн Гравураш ду Коа Порто Руби красный сладкий 0,75 л",2610,,1000,,Португалия,Турига Франка\Тинта Баррока\Тинта Амарела\Тинта Рориш,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,5л",новая цена,Наличие,New,,,,,,,,,,,,,,,308,,,,,,,,цена
"Водка Зимняя деревенька на солодовом спирте 0,5",1550,,430,,,,,,,,,,,,,,,440,,,,,,,,1399
"Водка Тундра Аутентик 0,5",1570,,440,,,,,,,,,,,,,,,400,,,,,,,,1299
"Водка Русский Стандарт Голд 0,5",1680,,500,,,,,,,,,,,,,,,490,,,,,,,,1499
"Водка Белая Березка 0,5",1780,,550,,,,,,,,,,,,,,,460,,,,,,,,1399
"Водка виноградная Найт Габриелло Граппа Нобиле 0,5 л",2610,,1000,,,,,,,,,,,,,,,920,,,,,,,,2399
"Водка Белуга Нобл 0,5 л",2990,,1200,,,,,,,,,,,,,,,1100,,,,,,,,2299
"Водка ЧИСТЫЕ РОСЫ 40% 0,5Л ",2990,,1200,,,,,,,,,,,,,,,1490,,,,,,,,2399
"Водка АБСОЛЮТ 40% 0,5Л ",,нет,нет,,,,,,,,,,,,,,,,,,,,,,,2699
"Водка Белый чай имбирь 0,5 л",,нет,нет,,,,,,,,,,,,,,,закуп,,,,,,,,1799
,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВОДКА 0,7л",новая цена,Наличие,New,,,,,,,,,,,,,,,308,,,,,,,,цена
"Водка Зимняя Деревенька на солодовом спирте  0,7",1850,,590,,,,,,,,,,,,,,,500,,,,,,,,1599
"Водка Тундра Аутентик 0,7",1880,,600,,,,,,,,,,,,,,,620,,,,,,,,1599
"Водка Белая Березка  0,7",2060,,700,,,,,,,,,,,,,,,650,,,,,,,,1699
"Водка Русский Стандарт  0,7",2060,,700,,,,,,,,,,,,,,,700,,,,,,,,1799
"Водка Дикий мед классика туба 0,7 л",2130,,740,,,,,,,,,,,,,,,760,,,,,,,,1799
Водка Органика Лайф 0.7л ,3550,бристоль,1500,,,,,,,,,,,,,,,1370,,,,,,,,2999
"Водка БЕЛУГА ТРАНСАТЛАНТИК РЕЙСИНГ 40% 0,7Л ",4090,,1790,,,,,,,,,,,,,,,1400,,,,,,,,3299
"Водка ЧИСТЫЕ РОСЫ 40% 0,7Л ",4110,,1800,,,,,,,,,,,,,,,1700,,,,,,,,2999
"Водка Суммум 0,7 л",4110,,1800,,,,,,,,,,,,,,,5320,,,,,,,,3899
"Водка виноградная ГРАППА ПО ДИ ПОЛИ МОРБИДА 40% ТУБА 0,7Л",8960,бристоль,4400,,,,,,,,,,,,,,,1150,,,,,,,,7499
"Водка виноградная ГРАППА КЛЕОПАТРА АМАРОНЕ ОРО 40% ТУБА 0,7Л",13810,бристоль,7000,,,,,,,,,,,,,,,600,,,,,,,,8499
"Водка АБСОЛЮТ 40% 0,7Л ",,нет,1830,,,,,,,,,,,,,,,4400,,,,,,,,3199
,,,,,,,,,,,,,,,,,,,,,,,,,,
ВОДКА 1л,новая цена,Наличие,New,,,,,,,,,,,,,,,308,,,,,,,,цена
Водка Зимняя Деревенька на солодовом спирте 1л,2240,бристоль,800,,,,,,,,,,,,,,,840,,,,,,,,1899
Водка Белая Березка 1л,2520,,950,,,,,,,,,,,,,,,1000,,,,,,,,1899
Водка Русский Стандарт 1л,2470,,920,,,,,,,,,,,,,,,940,,,,,,,,1999
Водка Медведь 1 л,2780,,1090,,,,,,,,,,,,,,,900,,,,,,,,2099
,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВИСКИ 0,5л",новая цена,Наличие,New,,,,,,,,,,,,,,,690,,,,,,,,цена
"Виски Наки Томпсон 3 года купажированный 0,5",2320,,840,,,,,,,,,,,,,,,800,,,,,,,,1799
Виски шотландский THE FAMOUS GROUSE 40% 0.5 л,2610,,1000,,,,,,,,,,,,,,,,,,,,,,,
"Виски Вильям Лоусонс не менее 3 лет купажир. 0,5",2610,,1000,,,,,,,,,,,,,,,960,,,,,,,,1899
"Виски Вильям Лоусонс Супер Спайсд купажир. 0,5 л",2610,,1000,,,,,,,,,,,,,,,1090,,,,,,,,1899
"Виски шотландский ЧИВАС РИГАЛ 12 ЛЕТ 40% П/УП. 0,5Л",6350,,3000,,,,,,,,,,,,,,,4000,,,,,,,,5499
"Виски бурбон ДЖИМ БИМ 4 ГОДА БЕЛ. ЭТИК. 40% 0,5Л ",,нет,нет,,,,,,,,,,,,,,,2760,,,,,,,,2899
"Виски  МАКАЛЛАН ТРИПЛ КАСК МЕЙЧУРД 12 ЛЕТ ОДНОСОЛОД.  0,5Л",,нет,нет,,,,,,,,,,,,,,,9797,,,,,,,,14999
,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВИСКИ 0,7л",новая цена,Наличие,New,,,,,,,,,,,,,,,690,,,,,,,,цена
"Виски купажированный шотландский Нобл Стаг 3 года 0,7 л",2370,,870,,,,,,,,,,,,,,,777,,,,,,,,1699
"Виски Наки Томпсон 3 года купажированный 0,7",2810,,1100,,,,,,,,,,,,,,,1030,,,,,,,,1999
"Виски купажированный шотландский Сир Эдвардс 0,7 л",3090,,1250,,,,,,,,,,,,,,,1000,,,,,,,,2499
"Виски Вильям Лоусонс не менее 3 лет купажированный 0,7",3170,,1300,,,,,,,,,,,,,,,2470,,,,,,,,2199
"Виски Вильям Лоусонс Супер Спайсд выдержка 3 года 0,7 л",3170,,1300,,,,,,,,,,,,,,,1900,,,,,,,,2399
"Виски (бурбон) Джим Бим 4 года зерновой 0,7 ",4110,,1800,,,,,,,,,,,,,,,1260,,,,,,,,3899
Виски JIM BEAM APPLE 0.7 л,4110,,1800,,,,,,,,,,,,,,,,,,,,,,,
Виски DEWAR’S SPECIAL RESERVE 12 лет шотландский купажированный 0.7 л ,6350,,3000,,,,,,,,,,,,,,,,,,,,,,,
Виски THE FAMOUS GROUSE 3 года 0.7 л ,4480,,2000,,,,,,,,,,,,,,,,,,,,,,,
"Виски шотландский БАЛЛАНТАЙНС ФАЙНЕСТ 40% 0,7Л ",4480,,2000,,,,,,,,,,,,,,,1970,,,,,,,,3199
Виски ирланский Поугс медовый (оранжевый) 0.7л,5230,,2400,,,,,,,,,,,,,,,2450,,,,,,,,3499
"Виски Джек Дэниел`с Теннесси 0,7",5420,,2500,,,,,,,,,,,,,,,2190,,,,,,,,3999
Виски Джемесон не менее 3 лет купажир. 0.7л,5970,,2800,,,,,,,,,,,,,,,4000,,,,,,,,3800
"Виски купажированный ХАТОЗАКИ 3 ГОДА 40% 0,7Л ",8220,бристоль,4000,,,,,,,,,,,,,,,4000,,,,,,,,4999
Виски Чивас Ригал 12 лет купажир. п/к 0.7,8220,,4000,,,,,,,,,,,,,,,10770,,,,,,,,5999
"Виски шотландский МАКАЛЛАН ДАБЛ КАСК ГОЛД 3 ГОДА П/УП. 0,7Л ",14740,,7500,,,,,,,,,,,,,,,11000,,,,,,,,15000
Виски Chivas Regal 18 Years Old 0.75 л,17540,,9000,,,,,,,,,,,,,,,1240,,,,,,,,13999
"Виски  МАКАЛЛАН ТРИПЛ КАСК МЕЙЧУРД 12 ЛЕТ 0,7Л",23130,,12000,,,,,,,,,,,,,,,3000,,,,,,,,15999
Виски ирланский Поугс оригинальный (черный) 0.7л,,нет,1900,,,,,,,,,,,,,,,1810,,,,,,,,3699
Виски ирланский Поугс фруктовая мята и лайм (красный) 0.7л,,нет,2900,,,,,,,,,,,,,,,3000,,,,,,,,3799
"Виски шотландский купажированный ЧИВАС РИГАЛ 15 ЛЕТ 40% П/УП. 0,7Л",,нет,нет ,,,,,,,,,,,,,,,9000,,,,,,,,8600
"Виски Джонни Уокер Голд Лейбл 0,7 л ",,нет в наличии,нет,,,,,,,,,,,,,,,7000,,,,,,,,11999
"Виски Oban malt, 14 летней выдержки 0.7 л",,нет ,нет,,,,,,,,,,,,,,,10000,,,,,,,,12000
"Виски шотландский Карду 12 лет односолодовый  0,7 л  ",,нет в наличии,нет,,,,,,,,,,,,,,,37600,,,,,,,,13999
"Виски Aberfeldy, 16 летней выдержки 0.7 л",,нет ,нет,,,,,,,,,,,,,,,60000,,,,,,,,14999
Виски Highland Park 21 Years Old 0.7 л,,нет,нет,,,,,,,,,,,,,,,50000,,,,,,,,49999
Виски Balblair 25 Year Old 0.7л ,,нет,нет,,,,,,,,,,,,,,,65000,,,,,,,,89999
